"303","651","NLP","NETWORK","NLP_CRIME","33.8003724","-117.2201716","33.8005078","-117.2202248","15.838","51.96","12.852","42.16","04/05/2026 13:01:36","04/05/2026 13:01:44","7.868","","","1775422896648","1775422904516","Fix,NLP,33.8005078000,-117.2202248000,405.5,,19.53,,1775422904516,,,3416263000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","6.1","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"311","667","NLP","NETWORK","NLP_ANOMALY","33.8005078","-117.2202248","33.8004862","-117.2201921","3.86","12.66","15.144","49.69","04/05/2026 13:01:44","04/05/2026 13:01:51","7.173","","","1775422904516","1775422911689","Fix,NLP,33.8004862000,-117.2201921000,405.5,,27.729,,1775422911689,,,3423436000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","8.1","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"319","683","NLP","NETWORK","NLP_ANOMALY","33.8004862","-117.2201921","33.8004677","-117.2202014","2.229","7.31","14.104","46.27","04/05/2026 13:01:54","04/05/2026 13:01:58","4.482","","","1775422914362","1775422918844","Fix,NLP,33.8004677000,-117.2202014000,405.5,,27.399,,1775422918844,,,3430591000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","7.2","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"327","699","NLP","NETWORK","NLP_ANOMALY","33.8004677","-117.2202014","33.8005113","-117.220229","5.478","17.97","12.646","41.49","04/05/2026 13:01:58","04/05/2026 13:02:06","7.183","","","1775422918844","1775422926027","Fix,NLP,33.8005113000,-117.2202290000,405.5,,19.355,,1775422926027,,,3437774000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","6.1","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"335","715","NLP","NETWORK","NLP_CRIME","33.8005113","-117.220229","33.8001736","-117.2206107","51.517","169.02","40.156","131.75","04/05/2026 13:02:06","04/05/2026 13:02:12","6.822","","","1775422926027","1775422932849","Fix,NLP,33.8001736000,-117.2206107000,405.5,,21.878,,1775422932849,,,3444596000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","27.8","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"343","731","NLP","NETWORK","NLP_CRIME","33.8001736","-117.2206107","33.800285","-117.2202263","37.617","123.42","23.234","76.23","04/05/2026 13:02:12","04/05/2026 13:02:20","7.206","","","1775422932849","1775422940055","Fix,NLP,33.8002850000,-117.2202263000,405.5,,29.936,,1775422940055,,,3451802000000,1.0,0,,,","33.80034741","-117.22033806","311","480","11268","11297570","-98","LTE","LTE","1000","242","12.4","33.80034741,-117.22033806,403,311,480,11268,11297570,-98,LTE,LTE,1000,242"
"351","747","NLP","NETWORK","NLP_CRIME","33.800285","-117.2202263","33.8005209","-117.2202601","26.416","86.67","10.673","35.02","04/05/2026 13:02:20","04/05/2026 13:02:27","7.266","","","1775422940055","1775422947321","Fix,NLP,33.8005209000,-117.2202601000,405.5,,19.799,,1775422947321,,,3459068000000,1.0,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","5.3","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
"360","765","NLP","NETWORK","NLP_CRIME","33.8005209","-117.2202601","33.800197","-117.2205655","45.755","150.11","35.637","116.92","04/05/2026 13:02:27","04/05/2026 13:02:34","7.179","","","1775422947321","1775422954500","Fix,NLP,33.8001970000,-117.2205655000,405.5,,39.836,,1775422954500,,,3466247000000,1.0,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","23.2","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"369","787","NLP","NETWORK","NLP_ANOMALY","33.800197","-117.2205655","33.8002343","-117.2205285","5.375","17.63","30.299","99.41","04/05/2026 13:02:40","04/05/2026 13:02:44","4.616","","","1775422960248","1775422964864","Fix,NLP,33.8002343000,-117.2205285000,405.5,,46.8872,,1775422964864,,,3477283682578,2.4273,0,,,","33.80036954","-117.22042412","311","480","11268","11320577","-106","LTE","LTE","5230","111","17.9","33.80036954,-117.22042412,406,311,480,11268,11320577,-106,LTE,LTE,5230,111"
"376","804","NLP","NETWORK","NLP_CRIME","33.8002343","-117.2205285","33.8005144","-117.2202284","41.701","136.81","12.84","42.13","04/05/2026 13:02:46","04/05/2026 13:02:48","2.273","","","1775422966491","1775422968764","Fix,NLP,33.8005144000,-117.2202284000,405.5,,16.577,,1775422968764,,,3480511000000,1.196716,0,,,","33.80047585","-117.22027869","311","480","11268","11297539","-102","LTE","LTE","5230","242","6.3","33.80047585,-117.22027869,399,311,480,11268,11297539,-102,LTE,LTE,5230,242"
